Date,Region,Product,Units Sold,Unit Price,Revenue,Profit,Year,Month,Quarter,Weekday,DayOfYear,Profit_Margin,Month_Year
2024-01-04,East,Tablet,42,329,13818,3331.38,2024,1,1,Thursday,4,24.10898827616153,2024-01
2024-01-04,East,Laptop,74,956,70744,24401.7,2024,1,1,Thursday,4,34.492960533755515,2024-01
2024-01-04,East,Monitor,20,658,13160,1911.03,2024,1,1,Thursday,4,14.521504559270518,2024-01
2024-01-04,West,Laptop,23,395,9085,2304.21,2024,1,1,Thursday,4,25.36279581728123,2024-01
2024-01-04,West,Tablet,23,197,4531,1330.08,2024,1,1,Thursday,4,29.35510924740675,2024-01
2024-01-04,West,Mouse,56,538,30128,9257.77,2024,1,1,Thursday,4,30.72812665958577,2024-01
2024-01-04,West,Headphones,43,387,16641,5846.2,2024,1,1,Thursday,4,35.13130220539631,2024-01
2024-01-05,North,Mouse,98,347,34006,6032.07,2024,1,1,Friday,5,17.738252073163558,2024-01
2024-01-05,North,Monitor,20,395,7900,3117.74,2024,1,1,Friday,5,39.46506329113924,2024-01
2024-01-05,North,Smartphone,64,930,59520,10270.51,2024,1,1,Friday,5,17.25556115591398,2024-01
2024-01-05,North,Tablet,52,303,15756,5816.56,2024,1,1,Friday,5,36.916476263010914,2024-01
2024-01-05,South,Monitor,84,180,15120,5396.29,2024,1,1,Friday,5,35.68974867724868,2024-01
2024-01-05,South,Tablet,58,169,9802,3590.78,2024,1,1,Friday,5,36.633136094674555,2024-01
2024-01-05,East,Mouse,93,148,13764,5396.85,2024,1,1,Friday,5,39.20989537925022,2024-01
2024-01-05,East,Monitor,22,945,20790,3983.55,2024,1,1,Friday,5,19.160894660894662,2024-01
2024-01-05,East,Smartphone,70,871,60970,14299.13,2024,1,1,Friday,5,23.452730851238314,2024-01
2024-01-05,East,Tablet,65,730,47450,7249.3,2024,1,1,Friday,5,15.27776606954689,2024-01
2024-01-05,West,Tablet,21,689,14469,3913.76,2024,1,1,Friday,5,27.0492777662589,2024-01
2024-01-05,West,Laptop,80,932,74560,21689.49,2024,1,1,Friday,5,29.089981223175972,2024-01
2024-01-06,North,Laptop,31,76,2356,797.37,2024,1,1,Saturday,6,33.844227504244486,2024-01
2024-01-06,North,Headphones,34,658,22372,6109.15,2024,1,1,Saturday,6,27.30712497765063,2024-01
2024-01-06,North,Tablet,68,530,36040,5714.97,2024,1,1,Saturday,6,15.8572974472808,2024-01
2024-01-06,South,Monitor,21,221,4641,1773.5,2024,1,1,Saturday,6,38.21374703727645,2024-01
2024-01-06,South,Tablet,97,95,9215,3450.64,2024,1,1,Saturday,6,37.44590341833966,2024-01
2024-01-06,East,Tablet,50,230,11500,3124.41,2024,1,1,Saturday,6,27.16878260869565,2024-01
2024-01-06,East,Smartphone,64,165,10560,1988.81,2024,1,1,Saturday,6,18.83342803030303,2024-01
2024-01-06,East,Keyboard,89,977,86953,30897.97,2024,1,1,Saturday,6,35.53410463123757,2024-01
2024-01-06,East,Mouse,71,177,12567,2661.77,2024,1,1,Saturday,6,21.180631813479746,2024-01
2024-01-06,West,Laptop,36,992,35712,14178.24,2024,1,1,Saturday,6,39.70161290322581,2024-01
2024-01-06,West,Headphones,70,688,48160,12304.83,2024,1,1,Saturday,6,25.549896179401994,2024-01
2024-01-06,West,Monitor,6,834,5004,1774.42,2024,1,1,Saturday,6,35.46003197442047,2024-01
2024-01-07,North,Laptop,54,970,52380,14847.33,2024,1,1,Sunday,7,28.345418098510883,2024-01
2024-01-07,North,Headphones,64,555,35520,3607.25,2024,1,1,Sunday,7,10.155546171171173,2024-01
2024-01-07,South,Tablet,96,403,38688,4959.59,2024,1,1,Sunday,7,12.819453060380482,2024-01
2024-01-07,South,Keyboard,91,903,82173,16306.89,2024,1,1,Sunday,7,19.84458398744113,2024-01
2024-01-07,East,Laptop,90,354,31860,3542.97,2024,1,1,Sunday,7,11.120433145009416,2024-01
2024-01-07,East,Smartphone,74,832,61568,12809.67,2024,1,1,Sunday,7,20.8057270010395,2024-01
2024-01-07,East,Headphones,64,662,42368,10874.72,2024,1,1,Sunday,7,25.66729607250755,2024-01
2024-01-07,West,Monitor,10,926,9260,1465.99,2024,1,1,Sunday,7,15.831425485961123,2024-01
2024-01-07,West,Tablet,98,96,9408,2915.1,2024,1,1,Sunday,7,30.98533163265306,2024-01
2024-01-08,North,Keyboard,67,836,56012,12977.5,2024,1,1,Monday,8,23.16914232664429,2024-01
2024-01-08,North,Laptop,59,395,23305,2507.74,2024,1,1,Monday,8,10.7605234928127,2024-01
2024-01-08,South,Smartphone,5,800,4000,700.29,2024,1,1,Monday,8,17.50725,2024-01
2024-01-08,South,Tablet,52,650,33800,10074.4,2024,1,1,Monday,8,29.80591715976331,2024-01
2024-01-08,East,Headphones,71,125,8875,2394.57,2024,1,1,Monday,8,26.981070422535215,2024-01
2024-01-08,East,Smartphone,55,135,7425,774.56,2024,1,1,Monday,8,10.431784511784512,2024-01
2024-01-08,West,Keyboard,73,253,18469,1941.98,2024,1,1,Monday,8,10.514808598191564,2024-01
2024-01-08,West,Smartphone,94,481,45214,15466.53,2024,1,1,Monday,8,34.20739151590216,2024-01
2024-01-08,West,Mouse,37,303,11211,2580.27,2024,1,1,Monday,8,23.015520470966017,2024-01
2024-01-09,North,Laptop,99,955,94545,27206.08,2024,1,1,Tuesday,9,28.775799883653292,2024-01
2024-01-09,North,Smartphone,62,657,40734,14539.88,2024,1,1,Tuesday,9,35.69470221436637,2024-01
2024-01-09,North,Keyboard,73,565,41245,11744.73,2024,1,1,Tuesday,9,28.475524305976478,2024-01
2024-01-09,North,Headphones,84,808,67872,26013.67,2024,1,1,Tuesday,9,38.327543022159354,2024-01
2024-01-09,South,Monitor,65,740,48100,16651.83,2024,1,1,Tuesday,9,34.61918918918919,2024-01
2024-01-09,South,Keyboard,16,884,14144,4895.64,2024,1,1,Tuesday,9,34.61283936651584,2024-01
2024-01-09,South,Laptop,44,891,39204,6351.26,2024,1,1,Tuesday,9,16.200540761146822,2024-01
2024-01-09,South,Smartphone,33,446,14718,2419.3,2024,1,1,Tuesday,9,16.43769533904063,2024-01
2024-01-09,East,Headphones,85,139,11815,2312.11,2024,1,1,Tuesday,9,19.56927634363098,2024-01
2024-01-09,East,Laptop,30,651,19530,3948.72,2024,1,1,Tuesday,9,20.21874039938556,2024-01
2024-01-09,East,Keyboard,11,245,2695,829.7,2024,1,1,Tuesday,9,30.786641929499076,2024-01
2024-01-09,West,Tablet,40,443,17720,4023.17,2024,1,1,Tuesday,9,22.704119638826185,2024-01
2024-01-09,West,Keyboard,28,241,6748,1840.7,2024,1,1,Tuesday,9,27.27771191464138,2024-01
2024-01-09,West,Laptop,40,145,5800,1173.0,2024,1,1,Tuesday,9,20.224137931034484,2024-01
2024-01-10,North,Tablet,93,916,85188,11154.27,2024,1,1,Wednesday,10,13.093710381743909,2024-01
2024-01-10,North,Keyboard,21,930,19530,4913.27,2024,1,1,Wednesday,10,25.157552483358934,2024-01
2024-01-10,North,Mouse,93,391,36363,6883.17,2024,1,1,Wednesday,10,18.92904875835327,2024-01
2024-01-10,South,Tablet,80,314,25120,4918.35,2024,1,1,Wednesday,10,19.57941878980892,2024-01
2024-01-10,South,Smartphone,82,784,64288,24762.59,2024,1,1,Wednesday,10,38.518214907914384,2024-01
2024-01-10,South,Monitor,87,555,48285,13980.98,2024,1,1,Wednesday,10,28.955120637879254,2024-01
2024-01-10,South,Mouse,73,148,10804,3033.03,2024,1,1,Wednesday,10,28.073213624583488,2024-01
2024-01-10,East,Tablet,57,91,5187,2034.73,2024,1,1,Wednesday,10,39.227491806439176,2024-01
2024-01-10,East,Keyboard,18,272,4896,571.66,2024,1,1,Wednesday,10,11.676062091503267,2024-01
2024-01-10,East,Laptop,39,264,10296,2715.82,2024,1,1,Wednesday,10,26.377428127428125,2024-01
2024-01-10,East,Smartphone,79,707,55853,21815.94,2024,1,1,Wednesday,10,39.05956707786511,2024-01
2024-01-10,West,Smartphone,11,223,2453,761.14,2024,1,1,Wednesday,10,31.028944150020383,2024-01
2024-01-10,West,Keyboard,46,442,20332,7046.22,2024,1,1,Wednesday,10,34.655813495966946,2024-01
2024-01-11,North,Smartphone,12,545,6540,2347.48,2024,1,1,Thursday,11,35.89418960244649,2024-01
2024-01-11,North,Headphones,90,549,49410,8449.38,2024,1,1,Thursday,11,17.10054644808743,2024-01
2024-01-11,North,Mouse,75,266,19950,5537.45,2024,1,1,Thursday,11,27.756641604010024,2024-01
2024-01-11,South,Keyboard,95,763,72485,26957.63,2024,1,1,Thursday,11,37.19063254466442,2024-01
2024-01-11,South,Laptop,43,175,7525,1864.6,2024,1,1,Thursday,11,24.778737541528237,2024-01
2024-01-11,South,Tablet,17,803,13651,3284.41,2024,1,1,Thursday,11,24.059849095304372,2024-01
2024-01-11,East,Tablet,5,436,2180,599.52,2024,1,1,Thursday,11,27.50091743119266,2024-01
2024-01-11,East,Keyboard,66,554,36564,7768.43,2024,1,1,Thursday,11,21.246116398643476,2024-01
2024-01-11,East,Laptop,29,873,25317,6544.72,2024,1,1,Thursday,11,25.851088201603666,2024-01
2024-01-11,West,Mouse,51,198,10098,1141.28,2024,1,1,Thursday,11,11.302040007922361,2024-01
2024-01-11,West,Smartphone,89,252,22428,8426.98,2024,1,1,Thursday,11,37.57347957909756,2024-01
2024-01-12,North,Keyboard,53,575,30475,5739.91,2024,1,1,Friday,12,18.83481542247744,2024-01
2024-01-12,North,Monitor,5,422,2110,652.15,2024,1,1,Friday,12,30.90758293838862,2024-01
2024-01-12,North,Mouse,7,705,4935,1584.78,2024,1,1,Friday,12,32.11306990881459,2024-01
2024-01-12,North,Tablet,79,61,4819,1867.9,2024,1,1,Friday,12,38.761153766341565,2024-01
2024-01-12,South,Laptop,40,139,5560,1203.63,2024,1,1,Friday,12,21.648021582733815,2024-01
2024-01-12,South,Smartphone,64,227,14528,2611.86,2024,1,1,Friday,12,17.978111233480178,2024-01
2024-01-12,South,Tablet,45,789,35505,14055.12,2024,1,1,Friday,12,39.58631178707225,2024-01
2024-01-12,East,Smartphone,81,781,63261,11468.42,2024,1,1,Friday,12,18.12873650432336,2024-01
2024-01-12,East,Tablet,17,607,10319,1267.79,2024,1,1,Friday,12,12.285977323384047,2024-01
2024-01-12,East,Headphones,10,643,6430,1446.7,2024,1,1,Friday,12,22.49922239502333,2024-01
2024-01-12,West,Keyboard,9,168,1512,337.75,2024,1,1,Friday,12,22.337962962962962,2024-01
2024-01-12,West,Smartphone,69,195,13455,5330.64,2024,1,1,Friday,12,39.61828316610926,2024-01
2024-01-13,North,Headphones,63,844,53172,14394.96,2024,1,1,Saturday,13,27.07244414353419,2024-01
2024-01-13,North,Keyboard,37,659,24383,2707.65,2024,1,1,Saturday,13,11.104663084936227,2024-01
2024-01-13,South,Tablet,9,919,8271,3092.94,2024,1,1,Saturday,13,37.39499455930359,2024-01
2024-01-13,South,Smartphone,27,614,16578,6356.5,2024,1,1,Saturday,13,38.342984678489564,2024-01
2024-01-13,South,Keyboard,78,132,10296,1793.61,2024,1,1,Saturday,13,17.420454545454543,2024-01
2024-01-13,South,Mouse,82,506,41492,5756.92,2024,1,1,Saturday,13,13.874771040200521,2024-01
2024-01-13,East,Keyboard,36,83,2988,619.86,2024,1,1,Saturday,13,20.744979919678716,2024-01
2024-01-13,East,Smartphone,76,600,45600,13747.12,2024,1,1,Saturday,13,30.147192982456144,2024-01
2024-01-13,East,Laptop,38,487,18506,6138.36,2024,1,1,Saturday,13,33.16956662703988,2024-01
2024-01-13,East,Tablet,54,317,17118,5904.27,2024,1,1,Saturday,13,34.491587802313354,2024-01
2024-01-13,West,Monitor,51,968,49368,16120.68,2024,1,1,Saturday,13,32.6541079241614,2024-01
2024-01-13,West,Tablet,89,959,85351,26563.27,2024,1,1,Saturday,13,31.122388724209443,2024-01
2024-01-14,North,Laptop,86,847,72842,19408.36,2024,1,1,Sunday,14,26.644463359051095,2024-01
2024-01-14,North,Smartphone,55,496,27280,8672.83,2024,1,1,Sunday,14,31.79189882697947,2024-01
2024-01-14,North,Monitor,42,530,22260,7459.23,2024,1,1,Sunday,14,33.509568733153635,2024-01
2024-01-14,North,Tablet,34,808,27472,7062.52,2024,1,1,Sunday,14,25.708066394874784,2024-01
2024-01-14,South,Smartphone,21,557,11697,1402.13,2024,1,1,Sunday,14,11.987090707018895,2024-01
2024-01-14,South,Keyboard,73,595,43435,12432.91,2024,1,1,Sunday,14,28.624174053182916,2024-01
2024-01-14,East,Tablet,27,232,6264,1725.29,2024,1,1,Sunday,14,27.54294380587484,2024-01
2024-01-14,East,Laptop,79,423,33417,10335.89,2024,1,1,Sunday,14,30.930035610617352,2024-01
2024-01-14,East,Headphones,8,409,3272,1010.89,2024,1,1,Sunday,14,30.89517114914425,2024-01
2024-01-14,West,Monitor,55,452,24860,8614.91,2024,1,1,Sunday,14,34.6537007240547,2024-01
2024-01-14,West,Headphones,86,653,56158,11472.28,2024,1,1,Sunday,14,20.428576516257703,2024-01
2024-01-15,North,Smartphone,94,95,8930,1868.88,2024,1,1,Monday,15,20.928107502799552,2024-01
2024-01-15,North,Tablet,82,779,63878,19618.11,2024,1,1,Monday,15,30.711841322521057,2024-01
2024-01-15,North,Headphones,77,843,64911,22058.26,2024,1,1,Monday,15,33.98231424565944,2024-01
2024-01-15,South,Tablet,30,853,25590,8748.21,2024,1,1,Monday,15,34.18604923798358,2024-01
2024-01-15,South,Headphones,56,768,43008,11224.11,2024,1,1,Monday,15,26.09772600446429,2024-01
2024-01-15,East,Laptop,6,414,2484,294.86,2024,1,1,Monday,15,11.870370370370372,2024-01
2024-01-15,East,Monitor,63,361,22743,3182.54,2024,1,1,Monday,15,13.993492503187793,2024-01
2024-01-15,East,Mouse,7,672,4704,1662.07,2024,1,1,Monday,15,35.333120748299315,2024-01
2024-01-15,West,Laptop,19,241,4579,827.76,2024,1,1,Monday,15,18.077309456213147,2024-01
2024-01-15,West,Smartphone,32,763,24416,6572.53,2024,1,1,Monday,15,26.918946592398424,2024-01
2024-01-15,West,Keyboard,21,280,5880,745.36,2024,1,1,Monday,15,12.676190476190477,2024-01
2024-01-15,West,Tablet,48,586,28128,10327.43,2024,1,1,Monday,15,36.71583475540387,2024-01
2024-01-16,North,Monitor,90,83,7470,1996.9,2024,1,1,Tuesday,16,26.73226238286479,2024-01
2024-01-16,North,Keyboard,44,418,18392,4953.66,2024,1,1,Tuesday,16,26.93377555458895,2024-01
2024-01-16,South,Smartphone,60,364,21840,8647.65,2024,1,1,Tuesday,16,39.59546703296703,2024-01
2024-01-16,South,Mouse,37,486,17982,2347.28,2024,1,1,Tuesday,16,13.053497942386832,2024-01
2024-01-16,South,Keyboard,74,631,46694,8114.83,2024,1,1,Tuesday,16,17.378742450850215,2024-01
2024-01-16,East,Tablet,35,89,3115,962.81,2024,1,1,Tuesday,16,30.90882825040128,2024-01
2024-01-16,East,Monitor,28,272,7616,2810.18,2024,1,1,Tuesday,16,36.898371848739494,2024-01
2024-01-16,East,Headphones,88,781,68728,25788.03,2024,1,1,Tuesday,16,37.521868816203,2024-01
2024-01-16,West,Smartphone,66,490,32340,10204.47,2024,1,1,Tuesday,16,31.553710575139142,2024-01
2024-01-16,West,Monitor,79,441,34839,8465.38,2024,1,1,Tuesday,16,24.298573437813943,2024-01
2024-01-16,West,Headphones,49,349,17101,2762.21,2024,1,1,Tuesday,16,16.152330273083447,2024-01
2024-01-16,West,Tablet,30,167,5010,1569.56,2024,1,1,Tuesday,16,31.328542914171653,2024-01
2024-01-17,North,Monitor,18,369,6642,838.13,2024,1,1,Wednesday,17,12.61863896416742,2024-01
2024-01-17,North,Tablet,15,560,8400,2052.47,2024,1,1,Wednesday,17,24.434166666666666,2024-01
2024-01-17,South,Mouse,27,699,18873,7492.36,2024,1,1,Wednesday,17,39.69882901499496,2024-01
2024-01-17,South,Keyboard,17,217,3689,1265.19,2024,1,1,Wednesday,17,34.296286256438066,2024-01
2024-01-17,South,Monitor,69,368,25392,7730.62,2024,1,1,Wednesday,17,30.44510081915564,2024-01
2024-01-17,South,Headphones,21,826,17346,4834.18,2024,1,1,Wednesday,17,27.869134094315694,2024-01
2024-01-17,East,Headphones,54,383,20682,7856.71,2024,1,1,Wednesday,17,37.988153950294944,2024-01
2024-01-17,East,Keyboard,79,186,14694,2373.09,2024,1,1,Wednesday,17,16.15006124948959,2024-01
2024-01-17,East,Tablet,39,562,21918,7064.96,2024,1,1,Wednesday,17,32.23359795601788,2024-01
2024-01-17,West,Keyboard,64,847,54208,18839.44,2024,1,1,Wednesday,17,34.753984651711924,2024-01
2024-01-17,West,Tablet,41,54,2214,377.95,2024,1,1,Wednesday,17,17.070912375790424,2024-01
2024-01-17,West,Mouse,82,459,37638,14014.88,2024,1,1,Wednesday,17,37.235984908868694,2024-01
2024-01-18,North,Mouse,18,849,15282,3649.4,2024,1,1,Thursday,18,23.880382148933386,2024-01
2024-01-18,North,Headphones,42,914,38388,12448.57,2024,1,1,Thursday,18,32.42828488069188,2024-01
2024-01-18,South,Tablet,70,870,60900,22651.25,2024,1,1,Thursday,18,37.19417077175698,2024-01
2024-01-18,South,Headphones,55,88,4840,653.74,2024,1,1,Thursday,18,13.50702479338843,2024-01
2024-01-18,South,Smartphone,10,628,6280,1810.6,2024,1,1,Thursday,18,28.8312101910828,2024-01
2024-01-18,South,Monitor,76,603,45828,6497.57,2024,1,1,Thursday,18,14.178166186610804,2024-01
2024-01-18,East,Smartphone,31,469,14539,5805.54,2024,1,1,Thursday,18,39.93080679551551,2024-01
2024-01-18,East,Keyboard,61,146,8906,2779.51,2024,1,1,Thursday,18,31.209409386930158,2024-01
2024-01-18,East,Tablet,31,338,10478,1153.21,2024,1,1,Thursday,18,11.006012597824013,2024-01
2024-01-18,East,Headphones,90,883,79470,26124.78,2024,1,1,Thursday,18,32.873763684409205,2024-01
2024-01-18,West,Keyboard,92,997,91724,20104.63,2024,1,1,Thursday,18,21.918614539269985,2024-01
2024-01-18,West,Mouse,33,697,23001,3334.58,2024,1,1,Thursday,18,14.497543585061518,2024-01
2024-01-18,West,Headphones,51,373,19023,6024.12,2024,1,1,Thursday,18,31.667560321715815,2024-01
2024-01-18,West,Smartphone,6,460,2760,806.87,2024,1,1,Thursday,18,29.234420289855073,2024-01
2024-01-19,North,Monitor,24,60,1440,558.32,2024,1,1,Friday,19,38.772222222222226,2024-01
2024-01-19,North,Laptop,42,183,7686,1692.88,2024,1,1,Friday,19,22.025500910746814,2024-01
2024-01-19,North,Keyboard,51,395,20145,7739.41,2024,1,1,Friday,19,38.41851576073467,2024-01
2024-01-19,North,Smartphone,16,267,4272,1178.51,2024,1,1,Friday,19,27.586844569288388,2024-01
2024-01-19,South,Monitor,72,182,13104,4936.93,2024,1,1,Friday,19,37.67498473748474,2024-01
2024-01-19,South,Mouse,76,176,13376,1949.71,2024,1,1,Friday,19,14.576181220095693,2024-01
2024-01-19,South,Headphones,96,848,81408,22958.24,2024,1,1,Friday,19,28.201454402515726,2024-01
2024-01-19,East,Headphones,5,863,4315,736.88,2024,1,1,Friday,19,17.077172653534184,2024-01
2024-01-19,East,Keyboard,94,671,63074,9833.0,2024,1,1,Friday,19,15.58962488505565,2024-01
2024-01-19,East,Mouse,91,874,79534,15878.48,2024,1,1,Friday,19,19.964392586818217,2024-01
2024-01-19,West,Tablet,13,251,3263,1112.21,2024,1,1,Friday,19,34.085504137296965,2024-01
2024-01-19,West,Headphones,30,986,29580,3972.01,2024,1,1,Friday,19,13.428025693035837,2024-01
2024-01-19,West,Laptop,29,651,18879,7097.69,2024,1,1,Friday,19,37.59568833094973,2024-01
2024-01-20,North,Headphones,47,925,43475,16252.03,2024,1,1,Saturday,20,37.38247268545141,2024-01
2024-01-20,North,Laptop,58,713,41354,11301.62,2024,1,1,Saturday,20,27.328964549983077,2024-01
2024-01-20,North,Monitor,56,759,42504,4682.4,2024,1,1,Saturday,20,11.016374929418408,2024-01
2024-01-20,South,Mouse,89,98,8722,1338.05,2024,1,1,Saturday,20,15.341091492776885,2024-01
2024-01-20,South,Keyboard,88,410,36080,5217.13,2024,1,1,Saturday,20,14.45989467849224,2024-01
2024-01-20,East,Tablet,5,785,3925,471.48,2024,1,1,Saturday,20,12.012229299363057,2024-01
2024-01-20,East,Smartphone,91,484,44044,7177.92,2024,1,1,Saturday,20,16.29715738806648,2024-01
2024-01-20,East,Laptop,87,367,31929,5157.87,2024,1,1,Saturday,20,16.154185849854365,2024-01
2024-01-20,West,Mouse,5,639,3195,1003.93,2024,1,1,Saturday,20,31.421909233176837,2024-01
2024-01-20,West,Headphones,70,551,38570,8957.07,2024,1,1,Saturday,20,23.222893440497796,2024-01
2024-01-21,North,Headphones,33,104,3432,1317.32,2024,1,1,Sunday,21,38.383449883449885,2024-01
2024-01-21,North,Tablet,36,827,29772,5395.38,2024,1,1,Sunday,21,18.122329705763807,2024-01
2024-01-21,North,Laptop,38,429,16302,5546.35,2024,1,1,Sunday,21,34.022512575144155,2024-01
2024-01-21,South,Keyboard,71,492,34932,8790.72,2024,1,1,Sunday,21,25.165235314324974,2024-01
2024-01-21,South,Smartphone,76,103,7828,1579.54,2024,1,1,Sunday,21,20.17807869187532,2024-01
2024-01-21,South,Laptop,71,100,7100,2100.35,2024,1,1,Sunday,21,29.582394366197185,2024-01
2024-01-21,South,Mouse,12,467,5604,1914.3,2024,1,1,Sunday,21,34.15952890792291,2024-01
2024-01-21,East,Mouse,89,959,85351,16041.24,2024,1,1,Sunday,21,18.79443708919638,2024-01
2024-01-21,East,Tablet,52,56,2912,844.4,2024,1,1,Sunday,21,28.997252747252745,2024-01
2024-01-21,East,Laptop,37,200,7400,2622.84,2024,1,1,Sunday,21,35.443783783783786,2024-01
2024-01-21,West,Laptop,5,864,4320,1241.69,2024,1,1,Sunday,21,28.742824074074075,2024-01
2024-01-21,West,Mouse,15,795,11925,4144.32,2024,1,1,Sunday,21,34.75320754716981,2024-01
2024-01-22,North,Smartphone,98,954,93492,21581.5,2024,1,1,Monday,22,23.083793265733966,2024-01
2024-01-22,North,Tablet,48,916,43968,16907.28,2024,1,1,Monday,22,38.45360262008734,2024-01
2024-01-22,North,Monitor,90,413,37170,5279.4,2024,1,1,Monday,22,14.203389830508472,2024-01
2024-01-22,North,Laptop,78,207,16146,3975.62,2024,1,1,Monday,22,24.622940666418927,2024-01
2024-01-22,South,Headphones,13,601,7813,2419.32,2024,1,1,Monday,22,30.965314219889926,2024-01
2024-01-22,South,Monitor,29,408,11832,1957.09,2024,1,1,Monday,22,16.540652467883703,2024-01
2024-01-22,South,Keyboard,26,284,7384,1672.56,2024,1,1,Monday,22,22.651137594799568,2024-01
2024-01-22,East,Headphones,79,887,70073,26227.6,2024,1,1,Monday,22,37.42896693448261,2024-01
2024-01-22,East,Laptop,89,91,8099,2210.66,2024,1,1,Monday,22,27.295468576367448,2024-01
2024-01-22,East,Smartphone,42,83,3486,928.16,2024,1,1,Monday,22,26.6253585771658,2024-01
2024-01-22,West,Monitor,90,76,6840,2530.84,2024,1,1,Monday,22,37.000584795321636,2024-01
